"LANGUAGE","正體中文"
"TFC_NAM","運輸分配控制器 (Transfer Controller)"
"TFC_DESC","“貨物” 和 “大眾服務” 車輛與建築的覆蓋範圍控制。"
"TFC_TAB_VEH","Vehicles"
"TFC_RES_PLD","Prefer local district"
"TFC_RES_PLD_TIP","If this is selected, preference will be given to servicing locations within the same district and/or park area as this building"
"TFC_RES_ENA","Enable location restrictions"
"TFC_RES_ENA_TIP","If this is selected, service will be restricted to the districts and/or buildings listed below (and any permitted outside connections)."
"TFC_DIS_AVA","Available districts"
"TFC_DIS_SEL","Permitted districts"
"TFC_DIS_ADD","Add this district to the list of permitted districts"
"TFC_DIS_SUB","Remove this district from the list of permitted districts"
"TFC_BUI_SEL","Permitted buildings"
"TFC_BUI_ADD","Use the cursor to select a building to add to the list of permitted building"
"TFC_BUI_SUB","Remove this building from the list of permitted buildings"
"TFC_VEH_AVA","Available vehicles"
"TFC_VEH_SEL","Permitted vehicles"
"TFC_VEH_ADD","Add this vehicle to the list of permitted vehicles"
"TFC_VEH_SUB","Remove this vehicle from the list of permitted vehicles"
"TFC_VEH_ANY","Any"
"TFC_GEN_BUY","Goods in"
"TFC_GEN_SEL","Goods out"
"TFC_GEN_SER","Service area"
"TFC_BLD_SDO","始終服務同一個行政區"
"TFC_BLD_SDO_TIP","啟用以確保建築始終可以為其所在的同一行政區或產業園區提供服務，即使該行政區或產業園區之後會產生變化"
"TFC_BLD_IMP","允許進口"
"TFC_BLD_IMP_TIP","Permit this building to import from outside connections. This is not affected by district or building restrictions."
"TFC_BLD_EXP","允許出口"
"TFC_BLD_EXP_TIP","Permit this building to export to outside connections. This is not affected by district or building restrictions."
"TFC_BLD_NOD","沒有本地行政區"
"TFC_FIR_SER","Firefighting"
"TFC_DIS_TRU","Rescue trucks"
"TFC_DIS_HEL","Rescue helicopters"
"TFC_POL_PMO","Prisoners to jail"
"TFC_POL_PMI","Prisoners in"
"TFC_POL_PHO","Prison helicopter"
"TFC_POL_PHI","Prisoner transport"
"TFC_POL_PTO","Prisoner transfer"
"TFC_MAI_IML","Mail collection"
"TFC_MAI_OUN","Unsorted mail out"
"TFC_MAI_IST","Sorted mail in"
"TFC_MAI_IUN","Unsorted mail in"
"TFC_MAI_OST","Sorted mail out"
"TFC_MAI_OGM","遞送郵件"
"TFC_MAI_ICM","接收郵件"
"TFC_GAR_ICO","收垃圾"
"TFC_GAR_ITF","Garbage in"
"TFC_GAR_OTF","Garbage out"
"TFC_GAR_ORR","用於出售的回收資源"
"TFC_FIS_MKO","魚貨運送"
"TFC_FIS_MKI","Fish in"
"TFC_FIS_CFO","Goods out"
"TFC_PWR_INC","購買燃料"
"TFC_OIL_INC","石油供應"
"TFC_SHT_INC","購買物資"
"TFC_WAR_RVU","Reserve vehicles for unique factories"
"TFC_WAR_RVU_TIP","Selecting this will reserve a portion of this building's delivery vehicles to only service unique factories"
"TFC_WAR_RVO","Reserve vehicles for outside connections"
"TFC_WAR_RVO_TIP","Selecting this will reserve a portion of this building's delivery vehicles to only service outside connections (importing and exporting)"
"TFC_WAR_RVI","Reserve vehicles for city delivery"
"TFC_WAR_RVI_TIP","Selecting this will reserve a portion of this building's delivery vehicles to only service delivery within this city (and not be available for importing or exporting)"
"TFC_WAR_RVC","Reserved vehicles"
"TFC_WAR_RVC_TIP","Set the number of reserved vehicles"
"TFC_OPT_NEW","Use new distance-based matching algorithm"
"TFC_OPT_NEW_TIP","If this is selected the mod will use a custom alogorithm to better match transfers based on closest distance."
"TFC_OPT_DIS","運送路徑搜尋 - 距離倍數設置"
"TFC_OPT_DIS_TIP","Use this to adjust the matching algorithm's aggressiveness in trying to find a physically close match.  100% (default) is the same as the unmodded game; lower values will mean the game spends more time and effort trying to find the match with the shortest distance, at the expense of some performance."
"TFC_OPT_WAR","倉庫優先權 - 級別設置"
"TFC_OPT_WAR_TIP","Use this to encourage the algorithm to give higher priority to transfers to and from warehouses (over other available options for the same type of cargo).  0 (no warehouse priority) is the default, for the same behavior as the unmodded game; 4 gives a very high priority for warehouse transfers."
"TFC_OPT_ORP","Outside rail connection priority boost"
"TFC_OPT_ORP_TIP","Use this to encourage the algorithm to give higher priority to transfers to and from outside rail connections (over other available options for the same type of cargo).  0 (no priority) is the default, for the same behavior as the unmodded game; 4 gives a very high priority for outside connection rail transfers."
"TFC_OPT_OSP","Outside shipping connection priority boost"
"TFC_OPT_OSP_TIP","Use this to encourage the algorithm to give higher priority to transfers to and from outside shipping connections (over other available options for the same type of cargo).  0 (no priority) is the default, for the same behavior as the unmodded game; 4 gives a very high priority for outside connection shipping transfers."
"TFC_OPT_PAT","Block offers with recent pathfind failures"
"TFC_OPT_PAT_TIP","Prevents offers from being matched if there's been a vehicle pathfinding failure between the two buildings in the past five minutes"
"TFC_OFF_TIT","開放優惠"
"TFC_OFF_LOG","運輸日志"
"TFC_LOG_BLD","僅此建築"
"TFC_LOG_ALW","被允許"
"TFC_LOG_BLK","被禁止"
"TFC_LOG_INC","進貨"
"TFC_LOG_OUT","出貨"
"TRN_CHOICE","語言設置"
"TRN_SYS","使用遊戲預設語言"
"KEY_KEY","Hotkey"
"KEY_PRS","Press any key"
"TFC_ERR_FAT","這意味著此模組(Mod)無法運轉，並且已自動禁用。"," and has shut down."
"TFC_ERR_HAR","“運輸分配控制器 (Transfer Controller)” 無法獲得所需的 “Harmony” 支援庫。"
"MES_CLS","關閉"
"ERR_HAR0","“Harmony” 支援庫錯誤。"
"ERR_HAR1","導致此問題有可能包括的原因："
"ERR_HAR2","“Harmony 2” 支援庫模組(Mod)沒有訂閱。"
"ERR_HAR3","一些老的或壞的模組(Mod)導致 “Harmony 2” 支援庫模組(Mod)無法正常運轉。"
"ERR_CON0","檢測到模組(Mod)衝突！"
"ERR_CON1","有衝突的模組(Mod)："
"TFC_ERR_CON0","“運輸分配控制器 (Transfer Controller)” 模組(Mod)檢測到與至少一個其他模組(Mod)發生衝突。"
"TFC_ERR_CON1","這些模組(Mod)必須退訂才能讓 “運輸分配控制器 (Transfer Controller)” 模組(Mod)正常運轉。"
